Vamos tentar alguma coisa!	ALGUM COISA TENTAR
Isso vai custar em torno de 10 mil ienes.	1000 IENE ISSO CUSTAR
Tudo bem se eu descansar um pouco?	{TUDO EU DESCANSAR UM POUCO}(q)
Algum problema se eu parar por um tempo?	{ALGUM PROBLEMA EU TEMPO PARAR}(q)
Você devia vestir um casaco.	VOCÊ CASACO VESTIR DEVER
Ele saiu faz pouco tempo.	ELE POUCO FAZER TEMPO FAZER SAIR
Eles ainda não estão aqui.	AQUI ELES AINDA_{NÃO}(headshake)
Tem chovido muito nesse ano.	ESSE ANO CHOVER
Ele ainda está no trabalho.	AINDA ELE TRABALHO
Ele ainda está trabalhando.	AINDA ELE TRABALHAR
A televisão está ligada.	TELEVISÃO
A biblioteca da universidade está aberta agora?	{AGORA BIBLIOTECA ABERTA UNIVERSIDADE}(q)
O lago tem um diâmetro de 3 milhas.	LAGO DIÂMETRO 3 MILHA TER
Você poderia falar um pouco mais devagar?	{DEVAGAR VOCÊ MAIS UM POUCO FALAR PODER}(q)
Não consigo respirar pelo nariz.	NARIZ RESPIRAR EU CONSEGUIR (NÃO)
Seus alunos falam mal dele sem ele saber.	MAL SEU ALUNOS DELE SABER FALAR
Por favor, espere um pouco mais.	FAVOR UM POUCO MAIS ELE ESPERAR
Oi, você é o Sr. Ogawa?	{OI VOCÊ SR. DT(O-G-A-W-A)}(q)
"Você está bem?" "Estou bem!"	VOCÊ TUDO BEM EU TUDO BEM
Tudo é ilusão.	TUDO ILUSÃO
Minha cabeça dói tanto.	MEU CABEÇA TANTO DOER
Essa mobilha é da minha mãe.	MOBILHA MEU ESSE MÃE
Olha, mãe, estou no Tatoeba!	OLHA TATOEBA
A sentença nº 354618 gerou muita confusão na página web Tatoeba.	SENTENÇA WEB CONFUSÃO Nº MUITA 354618 PÁGINA TATOEBA GERAR
Como você respondeu?	VOCÊ RESPONDER COMO (NÃO)
E o que você disse?	{O VOCÊ DIZER}(q)
Quando a felicidade bate à sua porta.	QUANDO FELICIDADE PORTA SEU BATER
Flores bonitas não dão bons frutos.	BONITAS BOM MULHER FLOR FRUTOS DAR (NÃO)
Estou muito cansado.	CANSAR
Estou bem cansado.	CANSAR EU TUDO BEM
Você gosta de tênis?	{VOCÊ TÊNIS GOSTAR}(q)
Bata na porta do coração de alguém.	BATA ALGUÉM CORAÇÃO
Bata na porta da felicidade.	BATA PORTA FELICIDADE
Se ninguém sabe o que vem a seguir, ninguém ficará desapontado.	SE NINGUÉM NINGUÉM O SABER SEGUIR VIR DESAPONTAR FICAR
Sou um homem solitário.	HOMEM SOLITÁRIO
Não há cura para dor de cotovelo.	CURA DOR COTOVELO HAVER (NÃO)
Inglês é mais difícil que japonês?	{INGLÊS DIFÍCIL JAPONÊS MAIS}(q)
Bem-vindo ao Tatoeba.	BEM VINDO TATOEBA
Eu provavelmente posso te dar sete minutos.	PROVAVELMENTE EU 7 MINUTO DAR PODER
Eu acho que eu posso te esperar por mais sete minutos.	EU EU 7 PODER MINUTO MAIS ESPERAR ACHAR
O que eu devo fazer agora que já me cadastrei?	{AGORA QUE O EU JÁ EU CADASTRAR FAZER DEVER}(q)
A comida era ótima na Itália.	COMIDA ÓTIMO ITÁLIA
Eu comi o queijo.	EU QUEIJO COMER
Antes de dar ordens, você deve aprender a obedecer.	ANTES VOCÊ DAR ORDEM APRENDER OBEDECER DEVER
Era mais barato do que eu pensava.	BARATO MAIS EU DO QUE PENSAR
Não foi tão caro quanto eu achei que fosse.	TÃO QUANTO CARO EU ACHAR FOSSAR IR (NÃO)
Está tudo bem! Não há necessidade de se sentir desconfortável.	BEM TUDO NECESSIDADE DESCONFORTÁVEL SENTIR HAVER (NÃO)
Você pode estudar, não importa a sua idade.	VOCÊ SEU IDADE ESTUDAR PODER IMPORTAR (NÃO)
O mundo que eu vi no meu sonho era um mundo de paz sem guerra.	MUNDO EU SONHO MUNDO PAZ GUERRA MEU VER
Por favor, lave bem suas mãos antes de comer.	BEM ANTES FAVOR MÃOS SEU COMER ELE LAVAR
Sua mãe sabe dirigir?	{SEU MÃE DIRIGIR SABER}(q)
Você é humano.	VOCÊ HUMANO
Que pôr-do-sol lindo.	PÔR DO SOL LINDO
Eu me pergunto se ele virá amanhã.	AMANHÃ EU SE ELE EU VIR PERGUNTAR
Leva mais ou menos 10 minutos para chegar na estação de trem a pé.	MAIS OU MENOS MINUTO 10 TREM ESTAÇÃO PÉ LEVAR CHEGAR
Aquele que mente também rouba.	TAMBÉM AQUELE MENTIR ROUBAR
Mentiroso hoje, ladrão amanhã.	HOJE MENTIROSO LADRÃO AMANHÃ
Morra logo!	LOGO ELE MORRER
Eu não quis dar essa impressão.	EU ESSE IMPRESSÃO DAR (NÃO)
Somente os mortos viram o fim da guerra.	SOMENTE MORTOS FIM GUERRA VER
Ele tinha a ambição de ser primeiro ministro.	ELE AMBIÇÃO PRIMEIRO TER MINISTRO
A festa de Trang foi tão divertida quanto um velório.	QUANTO FESTA DT(T-R-A-N-G) TÃO VELÓRIO DIVERTIR
Ainda há muito o que fazer, então eu não ficarei entediado.	AINDA ENTÃO EU HAVER O FAZER ENTEDIAR (NÃO)
Você parece estar entediado.	VOCÊ PARECER ENTEDIAR
Eu fui realmente entediante?	{REAL EU ENTEDIANTE IR}(q)
Vou fazer exercícios todo dia.	TODO EXERCÍCIOS DIA FAZER
Sou bom no japonês.	BOM JAPONÊS
A mulher observa e o homem pensa.	MULHER HOMEM ELE PENSAR
Todos os homens se odeiam naturalmente.	NATURAL TODO HOMEM ELES ODIAR
Por favor, sente-se.	FAVOR ELE SENTIR
Você comprou este livro?	{VOCÊ ESTE LIVRO COMPRAR}(q)
O castelo é bonito.	CASTELO BONITO
Este castelo é bonito.	CASTELO ESTE BONITO
Pedra, papel, tesoura.	PEDRA PAPEL TESOURA
Vou tentar.	TENTAR
Ele não está falando sério.	ELE SÉRIO FALAR (NÃO)
Eu estou jogando mahjong pela primeira vez.	PELA PRIMEIRA VEZ EU MAHJONG JOGAR
Ele não é uma pessoa séria.	ELE PESSOA SÉRIO (NÃO)
ONU quer dizer Organização das Nações Unidas.	QUER DIZER ORGANIZAÇÃO DAS NAÇÕES UNIDAS
Eu parei de fumar.	EU FUMAR PARAR
Você precisa disso.	VOCÊ ISSO PRECISAR
Parece óbvio que ele está doente.	ÓBVIO ELE DOENTE PARECER
Eu costuma jogar frequentemente tênis com ele nos domingos.	FREQUENTE EU TÊNIS DOMINGOS DELE JOGAR COSTUMAR
Ele não é o único que tem essa opinião.	ESSE ELE OPINIÃO TER (NÃO)
Aquela mesa é pequena demais para Meg.	DEMAIS MESA AQUELE PEQUENO MEG
Mary ajudou sua mãe na cozinha.	DT(M-A-R-Y) MÃE COZINHA SEU AJUDAR
Ken acendeu as velas.	DT(K-E-N) VELAS ACENDER
Quem é maior: Ken ou Taro?	{DT(K-E-N) DT(T-A-R-O) MAIOR OU QUEM}(q)
Quando vamos chegar no aeroporto?	AEROPORTO CHEGAR QUANDO (NÃO)
Você já decidiu sobre o que vai ser sua tese?	{JÁ VOCÊ SEU DECIDIR O TESE}(q)
Eu não uso mais óculos.	EU ÓCULOS MAIS USAR (NÃO)
Eu deixei de usar óculos.	EU ÓCULOS USAR DEIXAR
Eu não preciso mais usar óculos.	EU ÓCULOS MAIS USAR PRECISAR (NÃO)
O gelo derreteu.	GELO DERRETER
Isso não me preocupa.	ISSO EU PREOCUPAR (NÃO)
A partida foi cancelada por causa de chuva.	CHUVA PARTIDA CANCELAR
Tom não jantou ontem.	ONTEM DT(T-O-M) JANTAR (NÃO)
Jack não dirige rápido.	DT(J-A-C-K) RÁPIDO DIRIGIR (NÃO)
Jack nasceu em 10 de agosto.	DT(J-A-C-K) 10 AGOSTO NASCER
Jack não está aqui.	AQUI DT(J-A-C-K) (NÃO)
Você não devia falar de Jack pelas costas dele.	VOCÊ DT(J-A-C-K) COSTAS DELE FALAR DEVER (NÃO)
O menino tocando guitarra é Ken.	MENINO GUITARRA DT(K-E-N) TOCAR
Ambas irmãs são muito bonitas.	MULHER IRMÃO AMBOS BONITAS
As duas irmãs são muito bonitas.	MULHER IRMÃO 2 BONITO
Ele herdou o negócio do seu pai.	ELE NEGÓCIO PAI SEU HERDAR
Betty é uma assassina em série.	DT(B-E-T-T-Y) MULHER ASSASSINO SÉRIE
Eu não sou uigur. Eu sou russo.	EU UIGUR EU RUSSO (NÃO)
Tom não corre tão rápido quanto Bill.	QUANTO DT(T-O-M) TÃO RÁPIDO DT(B-I-L-L) CORRER (NÃO)
Tom cometeu alguns erros no teste.	DT(T-O-M) ALGUM ERROS TESTE COMETER
Nosso chefe de cozinha está muito ocupado hoje.	HOJE CHEFE COZINHA NOSSO OCUPAR
É proibido ler nesta biblioteca.	ESTE LER BIBLIOTECA PROIBIR
Betty matou Jane enquanto ela estava cantando.	DT(B-E-T-T-Y) DT(J-A-N-E) MATAR ENQUANTO CANTAR
George parece ser um bom garoto.	DT(G-E-O-R-G-E) PARECER BOM GAROTO
Eu sempre mantive minhas promessas.	SEMPRE EU MEU PROMESSAS MANTER
Você poderia me levar ao hospital, por favor?	{VOCÊ HOSPITAL FAVOR EU LEVAR PODER}(q)
Deram a ela o nome de Alice por causa de sua tia.	NOME DT(A-L-I-C-E) TIO SEU DAR
Chris não tinha um carro para dirigir.	DT(C-H-R-I-S) CARRO DIRIGIR NÃO_TER {NÃO}(headshake)
Bárbara foi morta por Alister.	MULHER BÁRBARO DT(A-L-I-S-T-E-R) MATAR
Foi Bárbara quem Elister matou.	DT(E-L-I-S-T-E-R) DT(B-Á-R-B-A-R-A) IR
Alister matou Bárbara.	DT(A-L-I-S-T-E-R) DT(B-Á-R-B-A-R-A) MATAR
Foi Alistem quem matou Bárbara.	DT(A-L-I-S-T-E-M) MATAR DT(B-Á-R-B-A-R-A) IR
Abbott matou Mary.	DT(A-B-B-O-T-T) DT(M-A-R-Y) MATAR
Aaron matou Elizabeth.	DT(A-A-R-O-N) DT(E-L-I-Z-A-B-E-T-H) MATAR
Eu não gosto de Alice.	EU ALICE GOSTAR (NÃO)
Eu não vou com a cara de Alice.	EU CARA ALICE IR (NÃO)
Um grande navio pede águas profundas.	GRANDE PROFUNDAS NAVIO ÁGUAS PEDIR
A cavalo dado não se olham os dentes.	CAVALO DENTES DAR OLHAR (NÃO)
Você trocou ruim por péssimo.	VOCÊ MAU RUIM TROCAR
Foi por você que eu vim.	IR EU VOCÊ VIR
Um homem com a barriga cheia acha que ninguém tem fome.	HOMEM ACHA NINGUÉM BARRIGA TER FOME
Por favor espere um pouco.	FAVOR UM POUCO ELE ESPERAR
O que eu deveria comprar?	{O EU COMPRAR DEVER}(q)
Deixe-me ir à loja.	EU LOJA IR DEIXAR
Não tem cerveja aqui.	AQUI CERVEJA ELE NÃO_TER {NÃO}(headshake)
Pode um deus onipotente criar uma pedra tão pesada que até mesmo ele não consegue levantá-la?	{TÃO ONIPOTENTE DEUS ATÉ MESMO ELE PEDRA CRIAR PESAR PODER PODER LEVANTAR CONSEGUIR NÃO}(q)
O médico o aconselhou a diminuir a bebida.	MÉDICO O BEBIDA DIMINUIR ACONSELHAR
Deixe-me cortar as cenouras.	EU CENOURAS CORTAR DEIXAR
Chris derrotou o cavaleiro vampiro!	VAMPIRO DT(C-H-R-I-S) CAVALEIRO DERROTAR
Chris ganha 7 moedas de ouro!	DT(C-H-R-I-S) 7 MOEDA OURO GANHAR
Que tipo de comida você tem?	{TIPO VOCÊ COMIDA TER}(q)
"Quem te ajudou?" "Foi Tom."	QUEM TU AJUDAR DT(T-O-M) IR
Quando eu cheguei em casa, Tom estava estudando.	QUANDO EU DT(T-O-M) CASA CHEGAR ESTUDAR
Tom está na porta. Por favor peça para ele entrar.	DT(T-O-M) PORTA PEÇA FAVOR DELE ENTRAR
Chris brandiu sua espada!	DT(C-H-R-I-S) ESPADA SEU BRANDIR
As pernas dele são longas.	PERNAS LONGAS DELE
Prepare-se para o futuro.	FUTURO ELE PREPARAR
Meus olhos são azuis.	OLHO AZUIS MEU
Me fizeram esperar quase meia hora.	QUASE EU MULHER MEIA HORA ESPERAR FAZER
Eu cheguei bem a tempo de pegar o avião.	BEM EU AVIÃO PEGAR CHEGAR
Ela simplesmente chorou um mar de lágrimas sobre o túmulo de seu pai.	SIMPLESMENTE SEU LÁGRIMAS MAR TÚMULO PAI ELE CHORAR
O que você disse não faz absolutamente nenhum sentido para mim.	ABSOLUTO VOCÊ NENHUM O SENTIDO EU DIZER FAZER (NÃO)
Eu não consigo entender nada do que você disse.	EU VOCÊ NADA DO QUE DIZER ENTENDER CONSEGUIR (NÃO)
Eu não entendo o que você está dizendo.	EU VOCÊ O DIZER ENTENDER (NÃO)
Eu não aguento aquele barulho.	EU AQUELE BARULHO AGUENTAR (NÃO)
É melhor eu ir logo dormir.	MELHOR EU LOGO DORMIR
Nós só fazemos comida Uigur.	SÓ NÓS UIGUR COMER FAZER
Voltarei às 6 e meia.	6 MEIO EU VOLTAR
Os japoneses fazem três refeições por dia.	JAPONÊS 3 MULHER REFEIÇÃO DIA FAZER
Todos os dois estudantes passaram em todos seus testes.	TODO ESTUDANTE TODO SEU 2 TESTE PASSADO
Ambos os estudantes foram aprovados em todos seus testes.	AMBOS ESTUDANTES TODO TESTES SEU APROVAR
Eu não entendi nada do que ele disse.	EU ELE NADA DO QUE DIZER ENTENDER (NÃO)
Estes sapatos são dela.	SAPATOS ESTE
Ele não tem nem ideia de como essa reunião é importante.	ELE NÃO_TER NEM COMO IDEIA ESSE REUNIÃO IMPORTANTE {NÃO}(headshake)
Ele se ofende fácil.	ELE FÁCIL OFENDER
Eu fiz uma boneca para Ann.	EU BONECA DT(A-N-N) FAZER
Eu dei muito trabalho a ele.	EU TRABALHO DELE DAR
Eu causei muitos problemas para ele.	EU MUITOS PROBLEMA DELE CAUSAR
Ele perdeu o emprego.	ELE PERDER
Ele foi demitido.	ELE DEMITIR
Faz séculos que eu não te vejo.	EU FAZER SÉCULOS TU VER (NÃO)
Hoje eu descobri que existe um filme chamado "Os russos estão chegando! Os russos estão chegando!".	HOJE EU FILME RUSSOS EXISTIR DESCOBRIR NOME CHEGAR RUSSOS CHEGAR
A próxima segunda é feriado.	SEGUNDA FERIADO
Aaron foi assassinado friamente por Mary.	FRIO DT(A-A-R-O-N) DT(M-A-R-Y) ASSASSINAR
Elizabeth matou Alister a sangue frio.	FRIO DT(E-L-I-Z-A-B-E-T-H) DT(A-L-I-S-T-E-R) SANGUE MATAR
Eles foram de carro para a estação.	ELES CARRO ESTAÇÃO IR
Lucro líquido pelos últimos três meses é um novo recorde!	LUCRO 3 NOVO RECORDE MÊS
Eu quase pisei em um gambá ontem à noite.	ONTEM EU GAMBÁ QUASE NOITE PISAR
Quase tropecei num gambá noite passada.	QUASE NOITE GAMBÁ PASSADO PASSADO
O que os olhos não veem o coração não sente.	O OLHO CORAÇÃO SENTIR NÃO VEEM (NÃO)
Mentira tem perna curta.	CURTO MENTIRA PERNA TER
Eu era estudante nessa época.	EU ESSE ESTUDANTE ÉPOCA
Eu vi Dana.	EU DT(D-A-N-A) VER
Eles veem Dan.	ELES DT(D-A-N) VEEM
Eu vejo Dan e Andrei.	EU DT(D-A-N) DT(A-N-D-R-E-I) VER
Eu vejo Dana e Corina.	EU DT(D-A-N-A) DT(C-O-R-I-N-A) VER
Eu visitei Dan.	EU DAN VISITAR
Eu vou ao trabalho todo dia.	EU TODO TRABALHO DIA IR
Eu faço isso todo santo dia.	EU TODO ISSO SANTO DIA FAZER
Eu visitei a Romênia há alguns anos atrás.	ATRÁS EU ALGUM HAVER ROMÊNIA ANOS VISITAR
Eu vi Andrea saindo de casa.	EU DT(A-N-D-R-E-A) CASA SAIR VER
Eles estão tomando chá na sala de estar.	ELES CHÁ SALA TOMAR
Eu levei minhas roupas para lavar.	EU ROUPAS MEU LAVAR LEVAR
Eu gostaria de beber um café.	EU CAFÉ BEBER GOSTAR
Vamos ver o que vai acontecer.	O VER ACONTECER
Razvan acabou de sair.	DT(R-A-Z-V-A-N) SAIR ACABAR
Eu não choro facilmente.	FACILMENTE EU CHORAR (NÃO)
Eu te vi trabalhando e eu não te atrapalhei.	EU TU TRABALHAR VER EU TU ATRAPALHAR (NÃO)
Você quer ir ao cinema ou para o teatro?	{VOCÊ CINEMA OU TEATRO IR QUERER}(q)
Quando você for à Romênia, você vai visitar o Castelo do Drácula.	QUANDO VOCÊ ROMÊNIA VOCÊ VISITAR CASTELO DO DRÁCULA IR
Na França você trabalha na embaixada ou no consulado?	{VOCÊ EMBAIXADA OU CONSULADO FRANÇA TRABALHAR}(q)
Você quer ver um filme francês, não é?	{VOCÊ FILME VER QUERER}(q)
Vocês são alemães, não são?	{VOCÊS ALEMÃES}(q)
A guerra não determina quem está certo — apenas quem resta.	APENAS CERTO QUEM GUERRA RESTAR DETERMINAR (NÃO)
Sempre que escuto essa música eu me lembro de meus tempos de escola.	SEMPRE QUE ESSE EU MÚSICA MEU EU TEMPOS ESCOLA LEMBRAR ESCUTAR
Eu não acredito em Naomi. Acho que ela está mentindo.	EU DT(N-A-O-M-I) ACREDITAR NÃO MENTIR ACHAR (NÃO)
Não há nada que se possa fazer.	NADA FAZER PODER HAVER (NÃO)
Não há nada que possa ser feito.	NADA FAZER FAZER PODER HAVER (NÃO)
A felicidade, o que ela será?	{FELICIDADE O}(q)
Betty gosta de música clássica.	CLÁSSICO DT(B-E-T-T-Y) MÚSICA GOSTAR
Ken não teve coragem de tentar de novo.	NOVO DT(K-E-N) CORAGEM TENTAR NÃO_TER {NÃO}(headshake)
O cachorro come muita carne todo dia.	CACHORRO MUITA TODO CARNE DIA COMER
Eu era uma criança saudável.	EU SAUDÁVEL CRIANÇA
Eu vou abrir a cortina para você ver.	EU VOCÊ CORTINA VER ABRIR
Nós esperamos por ele até 10 horas.	NÓS DELE 10 HORA ESPERAR
Posso me sentar do seu lado?	{SEU EU LADO SENTAR PODER}(q)
Ela pediu a Bob que ele a ensinasse a esquiar.	ELE ELE DT(B-O-B) A ENSINAR ESQUIAR PEDIR
Hoje estudaremos Charles Dickens.	HOJE DT(C-H-A-R-L-E-S) DT(D-I-C-K-E-N-S) ESTUDAR
As normas têm por objetivo definir as características de qualidade para o mel.	NORMAS OBJETIVO CARACTERÍSTICAS QUALIDADE MEL DEFINIR TER
Gosto muito desta maneira de preparar batatas.	ESTE MANEIRA BATATAS EU GOSTAR PREPARAR
Tomates podem ser servidos quentes ou frios, como entrada ou acompanhamento.	TOMATES QUENTES OU COMO FRIOS ENTRADA OU ACOMPANHAMENTO SERVIR PODER
O cão pode ser preparado de diversas maneiras.	CÃO DIVERSAS MANEIRAS PREPARAR PODER
A boa nutrição também é uma ciência e, como tal, pode ser aprendida.	TAMBÉM ELE PODER BOM COMO TAL APRENDER CIÊNCIA
Há alguma diferença entre tomar os suplementos com leite animal ou vegetal?	{ALGUM DIFERENÇA SUPLEMENTOS LEITE ANIMAL OU VEGETAL HAVER TOMAR}(q)
A combinação com uma calda não muito salgada é perfeita.	SALGAR COMBINAÇÃO CALDA SALGAR PERFAZER (NÃO)
Esta sentença não está escrita de forma clara.	CLARO SENTENÇA ESTE ESCREVER FORMA (NÃO)
Mary matou Abbott.	DT(M-A-R-Y) DT(A-B-B-O-T-T) MATAR
É esta a janela que foi partida pelo rapaz.	ESTA JANELA PARTIDA RAPAZ
Até recentemente, a maior parte das coisas de que nós precisávamos eram feitas à mão.	ATÉ RECENTE MAIOR PARTE NÓS COISA MÃO PRECISAR FAZER
"O Ken está ocupado?" "Sim, ele está ocupado."	DT(K-E-N) OCUPAR SIM ELE OCUPAR
O tufão atingiu a cidade, produzindo grandes estragos.	TUFÃO CIDADE GRANDE ESTRAGOS ATINGIR PRODUZIR
Gostaria de ter sido mais simpático com a rapariga.	ELE GOSTAR SIMPÁTICO MULHER RAPAZ MAIS
Quem descobriu o elemento químico rádio?	QUÍMICO RÁDIO ELEMENTO DESCOBRIR QUEM (NÃO)
Estou contra esse projecto de lei.	ESSE PROJECTO LEI
Rir-se dos seus problemas é típico dele.	ELE RIR PROBLEMA TÍPICO SEU DELE
Obriguei-o a ir lá imediatamente.	IMEDIATO O LÁ IR
O projecto implica grandes despesas.	GRANDE PROJECTO DESPESAS IMPLICAR
Estou sempre a dizê-lo.	SEMPRE DIZER DIZER
Curiosamente, ele não estava a par da notícia.	CURIOSO ELE NOTÍCIA (NÃO)
Todos nós considerámos a tua ideia irrealista.	IRREALISTA TODO NÓS IDEIA TEU CONSIDERAR
Tu deverias simplesmente fazê-lo, como disseste que o farias.	DEVER O FAZER TU DIZER DIZER FAZER
Graças a eles, eu finalmente restabeleci-me.	FINAL EU EU ELES RESTABELECER
Este ar condicionado consome muita electricidade.	AR MUITA ESTE ELECTRICIDADE CONDICIONAR CONSUMIR
Ele veio de carro.	ELE CARRO VIR
Isto vai tratar da tua dor de cabeça num instante.	ELE DOR CABEÇA INSTANTE TEU TRATAR
Os dois professores tinham o mesmo número de estudantes.	MESMO PROFESSOR NÚMERO 2 ESTUDANTE TER
É difícil visitar Tóquio em alguns dias.	DIFÍCIL ALGUM VISITAR TÓQUIO DIA
Eu lembro-me do que ele disse.	EU ELE EU DO QUE DIZER LEMBRAR
Vai em frente por esta rua.	ESTE FRENTE RUA ELE IR
Consulta a lista telefónica.	TELEFÓNICO LISTA ELE CONSULTAR
Ele mede quase seis pés.	QUASE ELE 6 PÉ MEDIR
Ele ganhou grande prestígio como cientista.	GRANDE COMO ELE PRESTÍGIO CIENTISTA GANHAR
Londres foi várias vezes bombardeada.	LONDRES VÁRIOS MULHER VEZ BOMBARDEAR IR
Poderias massajar-me o peito?	{TU PODER PEITO MASSAJAR ME}(q)
Estou preocupado com os resultados do exame.	RESULTADOS PREOCUPAR EXAME
Quanto mais velhos ficamos, pior é a nossa memória.	QUANTO MAIS NOSSO PIOR MEMÓRIA
Ele não te compreendeu.	ELE TU COMPREENDER (NÃO)
Ele disse que sofria de uma forte dor de cabeça.	ELE DOR FORTE CABEÇA DIZER
Não deixes de me visitar, um destes dias.	EU DIA VISITAR DEIXAR (NÃO)
Muitas pessoas famosas apoiam o movimento.	FAMOSAS PESSOA MOVIMENTO MUITAS ELES APOIAR
Se queres emagrecer, deverias parar de debicar.	TU DEVER EMAGRECER PARAR DEBICAR QUERER
Logo que saí da loja, dei com o meu professor.	LOGO QUE LOJA MEU SAÍ DAR PROFESSOR
Depois de lavar as janelas, parece sempre que há traços de sujidade.	DEPOIS SEMPRE QUE JANELAS HAVER LAVAR TRAÇOS SUJIDADE PARECER
Tomaremos em conta os seus sentimentos.	SEU ELE CONTAR SENTIMENTOS TOMAR
Receberá um e-mail de confirmação logo que a sua conta tiver sido activada por um administrador.	LOGO QUE CONTA E MAIL SEU ACTIVAR CONFIRMAÇÃO ADMINISTRADOR RECEBER
Ela achou essencial dar aos seus filhos o hábito de se levantar cedo.	CEDO ESSENCIAL HÁBITO SEU FILHOS DAR ELE ACHAR LEVANTAR
Ela tem mais ou menos a minha idade.	MAIS OU MENOS MEU IDADE ELE TER
Segundo o jornal, houve um grande incêndio na noite passada.	JORNAL INCÊNDIO PASSADO ELE TER MUITO
Ele fez fortuna graças à sua frugalidade.	GRAÇAS ELE FORTUNA FRUGALIDADE SEU FAZER
Eu discuti com ele até obter o seu consentimento.	EU SEU DELE OBTER CONSENTIMENTO DISCUTIR
Ele atrasou-se por causa da neve.	ELE CAUSA NEVE ATRASAR
Ele perdeu-se no meio da neve.	ELE MEIO NEVE PERDER
Ele está sempre a dizer mal dos outros.	SEMPRE ELE MAL OUTROS DIZER
Ele não tomou parte na conspiração. Era o seu irmão, e não ele, que estava contra o governo.	ELE PARTE CONSPIRAÇÃO TOMAR NÃO IRMÃO SEU ELE GOVERNO (NÃO)
Ele é teimoso nas suas opiniões.	ELE TEIMOSO MULHER OPINIÃO SEU
Ele estava determinado a ir, portanto eu decidi ajudá-lo o melhor que podia.	ELE DETERMINAR IR PORTANTO EU MELHOR AJUDAR DECIDIR PODER
Receio que ele nunca admitirá a sua culpa.	RECEIO ELE SEU ADMITIR CULPA NUNCA NÃO
Ele nunca bebeu vinho.	ELE VINHO BEBER NUNCA NÃO
Ele tem o poder absoluto.	ABSOLUTO ELE PODER TER
Ele desistiu, desesperado.	ELE DESESPERAR DESISTIR
Ele veio a casa desesperado.	ELE CASA DESESPERADO VIR
Ele perdeu esperança e suicidou-se com veneno.	ELE ESPERANÇA PERDER VENENO ELE SUICIDAR
A casa deles está cheia de risos e amor.	CASA RISOS ELES CHEIO AMOR ESTAR
Os trabalhos foram distribuídos no primeiro de setembro.	TRABALHOS PRIMEIRO SETEMBRO DISTRIBUIR
Estavam prestes a perder a paciência.	PRESTES PERDER PACIÊNCIA
Como falavam em chinês, não percebi nada do que eles disseram.	COMO ELES CHINÊS NADA DO QUE DIZER FALAR PERCEBER (NÃO)
Eles continuaram a conversa.	ELES CONVERSA CONTINUAR
Ele escreveu muitos livros sobre a China.	ELE LIVRO CHINA MUITOS ESCREVER
Ele gostaria de ir à China.	ELE CHINA IR GOSTAR
Ele fala um pouco Chinês.	ELE UM POUCO CHINÊS FALAR
Ele fumava um cigarro depois do almoço.	DEPOIS ELE CIGARRO ALMOÇO FUMAR
Ele apoiou-se a uma coluna e contemplou a Estátua da Liberdade.	ELE COLUNA APOIAR ESTÁTUA DA LIBERDADE CONTEMPLAR
Ele continuou a trabalhar até à noite.	ATÉ ELE NOITE TRABALHAR CONTINUAR
Ele trabalha na quinta de manhã até à noite.	ATÉ ELE QUINTA NOITE TRABALHAR
Ele partiu às quatro da manhã.	ELE 4 MANHÃ PARTIR
Ele tinha o hábito de comer pão ao pequeno almoço.	ELE HÁBITO PÃO PEQUENO ALMOÇO TER COMER
